activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,path
sup3r,nlr,EC-Earth3-CC,historical,r1i1p1f1,1hr,psfc,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/historical/1hr/psfc/conus4km/
sup3r,nlr,EC-Earth3-CC,historical,r1i1p1f1,1hr,rh,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/historical/1hr/rh/conus4km/
sup3r,nlr,EC-Earth3-CC,historical,r1i1p1f1,1hr,t2,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/historical/1hr/t2/conus4km/
sup3r,nlr,EC-Earth3-CC,historical,r1i1p1f1,1hr,swddif,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/historical/1hr/swddif/conus4km/
sup3r,nlr,EC-Earth3-CC,historical,r1i1p1f1,1hr,swddni,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/historical/1hr/swddni/conus4km/
sup3r,nlr,EC-Earth3-CC,historical,r1i1p1f1,1hr,swdnb,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/historical/1hr/swdnb/conus4km/
sup3r,nlr,EC-Earth3-CC,historical,r1i1p1f1,1hr,wd10,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/historical/1hr/wd10/conus4km/
sup3r,nlr,EC-Earth3-CC,historical,r1i1p1f1,1hr,wd100,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/historical/1hr/wd100/conus4km/
sup3r,nlr,EC-Earth3-CC,historical,r1i1p1f1,1hr,wd200,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/historical/1hr/wd200/conus4km/
sup3r,nlr,EC-Earth3-CC,historical,r1i1p1f1,1hr,ws10,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/historical/1hr/ws10/conus4km/
sup3r,nlr,EC-Earth3-CC,historical,r1i1p1f1,1hr,ws100,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/historical/1hr/ws100/conus4km/
sup3r,nlr,EC-Earth3-CC,historical,r1i1p1f1,1hr,ws200,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/historical/1hr/ws200/conus4km/
sup3r,nlr,EC-Earth3-CC,historical,r1i1p1f1,day,prec,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/historical/day/prec/conus4km/
sup3r,nlr,EC-Earth3-CC,ssp245,r1i1p1f1,1hr,psfc,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/ssp245/1hr/psfc/conus4km/
sup3r,nlr,EC-Earth3-CC,ssp245,r1i1p1f1,1hr,rh,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/ssp245/1hr/rh/conus4km/
sup3r,nlr,EC-Earth3-CC,ssp245,r1i1p1f1,1hr,t2,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/ssp245/1hr/t2/conus4km/
sup3r,nlr,EC-Earth3-CC,ssp245,r1i1p1f1,1hr,swddif,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/ssp245/1hr/swddif/conus4km/
sup3r,nlr,EC-Earth3-CC,ssp245,r1i1p1f1,1hr,swddni,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/ssp245/1hr/swddni/conus4km/
sup3r,nlr,EC-Earth3-CC,ssp245,r1i1p1f1,1hr,swdnb,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/ssp245/1hr/swdnb/conus4km/
sup3r,nlr,EC-Earth3-CC,ssp245,r1i1p1f1,1hr,wd10,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/ssp245/1hr/wd10/conus4km/
sup3r,nlr,EC-Earth3-CC,ssp245,r1i1p1f1,1hr,wd100,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/ssp245/1hr/wd100/conus4km/
sup3r,nlr,EC-Earth3-CC,ssp245,r1i1p1f1,1hr,wd200,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/ssp245/1hr/wd200/conus4km/
sup3r,nlr,EC-Earth3-CC,ssp245,r1i1p1f1,1hr,ws10,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/ssp245/1hr/ws10/conus4km/
sup3r,nlr,EC-Earth3-CC,ssp245,r1i1p1f1,1hr,ws100,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/ssp245/1hr/ws100/conus4km/
sup3r,nlr,EC-Earth3-CC,ssp245,r1i1p1f1,1hr,ws200,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/ssp245/1hr/ws200/conus4km/
sup3r,nlr,EC-Earth3-CC,ssp245,r1i1p1f1,day,prec,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-cc/ssp245/day/prec/conus4km/
