GCM,run,scenario,1.5,2.0,2.5,3.0,4.0
EC-Earth3,r140i1p1f1,ssp370,2049-07-16 12:00:00,2059-08-16 12:00:00,2069-03-16 12:00:00,2078-08-16 12:00:00,
EC-Earth3,r130i1p1f1,ssp370,2029-02-15 00:00:00,2036-12-16 12:00:00,2047-09-16 00:00:00,2062-05-16 12:00:00,2085-01-16 12:00:00
EC-Earth3,r1i1p1f1,ssp370,2034-04-16 00:00:00,2047-08-16 12:00:00,2058-07-16 12:00:00,2068-04-16 00:00:00,2087-10-16 12:00:00
EC-Earth3,r11i1p1f1,ssp370,2027-12-16 12:00:00,2038-10-16 12:00:00,2050-07-16 12:00:00,2065-04-16 00:00:00,2084-01-16 12:00:00
EC-Earth3,r127i1p1f1,ssp370,2044-10-16 12:00:00,2054-04-16 00:00:00,2064-02-15 12:00:00,2074-03-16 12:00:00,
EC-Earth3,r104i1p1f1,ssp370,2045-07-16 12:00:00,2056-09-16 00:00:00,2065-03-16 12:00:00,2073-03-16 12:00:00,2089-10-16 12:00:00
EC-Earth3,r106i1p1f1,ssp370,2028-10-16 12:00:00,2040-08-16 12:00:00,2052-07-16 12:00:00,2064-05-16 12:00:00,2084-08-16 12:00:00
EC-Earth3,r109i1p1f1,ssp370,2041-02-15 00:00:00,2051-07-16 12:00:00,2060-06-16 00:00:00,2070-10-16 12:00:00,
EC-Earth3,r115i1p1f1,ssp370,2045-04-16 00:00:00,2054-06-16 00:00:00,2063-06-16 00:00:00,2071-01-16 12:00:00,2089-02-15 00:00:00
EC-Earth3,r122i1p1f1,ssp370,2047-04-16 00:00:00,2056-03-16 12:00:00,2064-09-16 00:00:00,2073-08-16 12:00:00,
EC-Earth3,r119i1p1f1,ssp370,2042-03-16 12:00:00,2053-12-16 12:00:00,2067-04-16 00:00:00,2076-08-16 12:00:00,2090-11-16 00:00:00
EC-Earth3,r148i1p1f1,ssp370,2033-05-16 12:00:00,2042-04-16 00:00:00,2051-06-16 00:00:00,2062-10-16 12:00:00,2084-02-15 12:00:00
EC-Earth3,r101i1p1f1,ssp370,2044-08-16 12:00:00,2054-08-16 12:00:00,2067-11-16 00:00:00,2076-02-15 12:00:00,2090-10-16 12:00:00
EC-Earth3,r107i1p1f1,ssp370,2045-02-15 00:00:00,2057-03-16 12:00:00,2065-11-16 00:00:00,2073-09-16 00:00:00,2091-01-16 12:00:00
EC-Earth3,r143i1p1f1,ssp370,2041-10-16 12:00:00,2052-06-16 00:00:00,2064-02-15 12:00:00,2073-12-16 12:00:00,2089-11-16 00:00:00
EC-Earth3,r110i1p1f1,ssp370,2044-08-16 12:00:00,2057-02-15 00:00:00,2066-07-16 12:00:00,2074-06-16 00:00:00,2090-05-16 12:00:00
EC-Earth3,r135i1p1f1,ssp370,2032-06-16 00:00:00,2044-11-16 00:00:00,2057-02-15 00:00:00,2068-10-16 12:00:00,2085-11-16 00:00:00
EC-Earth3,r125i1p1f1,ssp370,2045-08-16 12:00:00,2057-04-16 00:00:00,2065-10-16 12:00:00,2073-08-16 12:00:00,
EC-Earth3,r149i1p1f1,ssp370,2039-03-16 12:00:00,2051-10-16 12:00:00,2061-11-16 00:00:00,2070-01-16 12:00:00,2087-02-15 00:00:00
EC-Earth3,r108i1p1f1,ssp370,2037-11-16 00:00:00,2053-09-16 00:00:00,2062-08-16 12:00:00,2071-05-16 12:00:00,2088-08-16 12:00:00
EC-Earth3,r142i1p1f1,ssp370,2033-01-16 12:00:00,2043-10-16 12:00:00,2055-08-16 12:00:00,2068-08-16 12:00:00,2084-08-16 12:00:00
EC-Earth3,r9i1p1f1,ssp370,2051-09-16 00:00:00,2061-04-16 00:00:00,2069-02-15 00:00:00,2076-05-16 12:00:00,
EC-Earth3,r102i1p1f1,ssp370,2035-11-16 00:00:00,2049-05-16 12:00:00,2062-02-15 00:00:00,2073-11-16 00:00:00,2089-06-16 00:00:00
EC-Earth3,r144i1p1f1,ssp370,2038-04-16 00:00:00,2050-03-16 12:00:00,2060-10-16 12:00:00,2070-09-16 00:00:00,2089-02-15 00:00:00
EC-Earth3,r126i1p1f1,ssp370,2039-12-16 12:00:00,2054-07-16 12:00:00,2065-08-16 12:00:00,2074-12-16 12:00:00,
EC-Earth3,r121i1p1f1,ssp370,2040-10-16 12:00:00,2053-07-16 12:00:00,2063-09-16 00:00:00,2072-02-15 12:00:00,
EC-Earth3,r124i1p1f1,ssp370,2030-12-16 12:00:00,2039-04-16 00:00:00,2050-01-16 12:00:00,2064-03-16 12:00:00,2084-04-16 00:00:00
EC-Earth3,r136i1p1f1,ssp370,2032-12-16 12:00:00,2042-11-16 00:00:00,2053-01-16 12:00:00,2065-07-16 12:00:00,2085-02-15 00:00:00
EC-Earth3,r117i1p1f1,ssp370,2033-03-16 12:00:00,2041-12-16 12:00:00,2050-05-16 12:00:00,2060-11-16 00:00:00,2081-06-16 00:00:00
EC-Earth3,r146i1p1f1,ssp370,2045-10-16 12:00:00,2056-07-16 12:00:00,2065-06-16 00:00:00,2075-12-16 12:00:00,
EC-Earth3,r150i1p1f1,ssp370,2039-09-16 00:00:00,2051-03-16 12:00:00,2061-10-16 12:00:00,2073-01-16 12:00:00,2090-02-15 00:00:00
EC-Earth3,r116i1p1f1,ssp370,2042-01-16 12:00:00,2052-05-16 12:00:00,2062-11-16 00:00:00,2072-04-16 00:00:00,2089-06-16 00:00:00
EC-Earth3,r114i1p1f1,ssp370,2042-04-16 00:00:00,2053-04-16 00:00:00,2063-11-16 00:00:00,2074-08-16 12:00:00,
EC-Earth3,r15i1p1f1,ssp370,2047-12-16 12:00:00,2058-07-16 12:00:00,2069-06-16 00:00:00,2077-03-16 12:00:00,
EC-Earth3,r132i1p1f1,ssp370,2032-03-16 12:00:00,2046-06-16 00:00:00,2061-12-16 12:00:00,2073-05-16 12:00:00,2090-04-16 00:00:00
EC-Earth3,r128i1p1f1,ssp370,2039-10-16 12:00:00,2052-09-16 00:00:00,2063-05-16 12:00:00,2072-02-15 12:00:00,2089-04-16 00:00:00
EC-Earth3,r137i1p1f1,ssp370,2040-10-16 12:00:00,2052-01-16 12:00:00,2064-06-16 00:00:00,2073-03-16 12:00:00,2087-08-16 12:00:00
EC-Earth3,r13i1p1f1,ssp370,2042-09-16 00:00:00,2053-11-16 00:00:00,2065-06-16 00:00:00,2075-07-16 12:00:00,
EC-Earth3,r131i1p1f1,ssp370,2043-03-16 12:00:00,2056-12-16 12:00:00,2066-08-16 12:00:00,2075-07-16 12:00:00,
EC-Earth3,r145i1p1f1,ssp370,2038-12-16 12:00:00,2048-12-16 12:00:00,2059-10-16 12:00:00,2069-02-15 00:00:00,2087-09-16 00:00:00
EC-Earth3,r138i1p1f1,ssp370,2044-07-16 12:00:00,2056-04-16 00:00:00,2064-09-16 00:00:00,2073-05-16 12:00:00,
EC-Earth3,r4i1p1f1,ssp370,2046-09-16 00:00:00,2057-05-16 12:00:00,2066-11-16 00:00:00,2074-12-16 12:00:00,
EC-Earth3,r129i1p1f1,ssp370,2031-12-16 12:00:00,2045-03-16 12:00:00,2059-03-16 12:00:00,2070-02-15 00:00:00,2088-05-16 12:00:00
EC-Earth3,r112i1p1f1,ssp370,2027-03-16 12:00:00,2037-04-16 00:00:00,2050-08-16 12:00:00,2062-07-16 12:00:00,2081-07-16 12:00:00
EC-Earth3,r105i1p1f1,ssp370,2031-01-16 12:00:00,2040-11-16 00:00:00,2054-10-16 12:00:00,2067-05-16 12:00:00,2086-03-16 12:00:00
EC-Earth3,r123i1p1f1,ssp370,2033-01-16 12:00:00,2042-08-16 12:00:00,2057-03-16 12:00:00,2069-03-16 12:00:00,2085-04-16 00:00:00
EC-Earth3,r147i1p1f1,ssp370,2027-08-16 12:00:00,2038-02-15 00:00:00,2052-12-16 12:00:00,2067-04-16 00:00:00,2083-10-16 12:00:00
EC-Earth3,r113i1p1f1,ssp370,2037-03-16 12:00:00,2053-09-16 00:00:00,2064-12-16 12:00:00,2073-02-15 00:00:00,2089-05-16 12:00:00
EC-Earth3,r6i1p1f1,ssp370,2032-03-16 12:00:00,2046-10-16 12:00:00,2061-07-16 12:00:00,2071-12-16 12:00:00,2087-10-16 12:00:00
EC-Earth3,r120i1p1f1,ssp370,2043-06-16 00:00:00,2055-03-16 12:00:00,2066-03-16 12:00:00,2074-11-16 00:00:00,
EC-Earth3,r133i1p1f1,ssp370,2045-01-16 12:00:00,2054-04-16 00:00:00,2063-07-16 12:00:00,2074-01-16 12:00:00,2090-06-16 00:00:00
EC-Earth3,r139i1p1f1,ssp370,2040-03-16 12:00:00,2052-08-16 12:00:00,2067-05-16 12:00:00,2074-12-16 12:00:00,2090-10-16 12:00:00
EC-Earth3,r141i1p1f1,ssp370,2029-12-16 12:00:00,2036-12-16 12:00:00,2044-06-16 00:00:00,2055-01-16 12:00:00,2084-03-16 12:00:00
EC-Earth3,r118i1p1f1,ssp370,2033-12-16 12:00:00,2042-08-16 12:00:00,2051-12-16 12:00:00,2064-04-16 00:00:00,2084-02-15 12:00:00
EC-Earth3,r134i1p1f1,ssp370,2047-10-16 12:00:00,2055-11-16 00:00:00,2064-08-16 12:00:00,2074-09-16 00:00:00,
EC-Earth3,r103i1p1f1,ssp370,2038-12-16 12:00:00,2049-04-16 00:00:00,2061-08-16 12:00:00,2071-04-16 00:00:00,2089-05-16 12:00:00
EC-Earth3,r111i1p1f1,ssp370,2025-09-16 00:00:00,2040-02-15 12:00:00,2055-03-16 12:00:00,2067-12-16 12:00:00,2084-06-16 00:00:00
